IP地址,端口,TLS,数据中心,下载速度(MB/s)
140.238.48.97,2087,TRUE,NRT,7.77
138.3.215.11,2082,FALSE,HKG,7.74
144.24.173.250,2053,TRUE,FRA,7.67
140.238.39.33,2087,TRUE,NRT,7.66
141.147.164.153,2053,TRUE,NRT,7.66
129.146.60.210,443,TRUE,LAX,7.65
140.238.61.78,2096,TRUE,NRT,7.50
141.147.164.54,2052,FALSE,NRT,7.50
140.238.58.42,2053,TRUE,NRT,7.50
141.147.163.68,443,TRUE,NRT,7.46
132.145.121.242,80,FALSE,HKG,7.40
140.238.50.99,2096,TRUE,NRT,7.37
129.146.84.236,443,TRUE,LAX,7.36
193.122.197.111,443,TRUE,IAD,7.33
158.101.201.147,443,TRUE,FRA,7.21
132.145.54.84,2053,TRUE,LHR,7.16
140.238.60.177,2083,TRUE,NRT,7.16
140.83.53.190,443,TRUE,KIX,7.13
132.145.10.107,443,TRUE,FRA,7.13
131.186.40.31,8880,FALSE,HKG,7.06
140.238.44.118,2053,TRUE,NRT,7.06
141.144.196.204,443,TRUE,FRA,7.06
193.123.57.161,443,TRUE,FRA,7.03
141.147.164.123,8443,TRUE,NRT,6.92
140.238.59.255,2087,TRUE,NRT,6.85
158.101.148.221,80,FALSE,HKG,6.84
140.238.41.253,2083,TRUE,NRT,6.76
131.186.59.232,2082,FALSE,HKG,6.71
140.238.39.87,2087,TRUE,NRT,6.57
158.101.71.60,443,TRUE,NRT,6.56
84.235.170.70,443,TRUE,FRA,6.50
140.238.51.184,2087,TRUE,NRT,6.45
140.238.33.165,2096,TRUE,NRT,6.43
140.238.35.138,2053,TRUE,NRT,6.34
132.145.11.103,443,TRUE,FRA,6.24
193.123.57.89,443,TRUE,FRA,6.17
150.136.241.40,8443,TRUE,IAD,6.04
140.83.57.116,8443,FALSE,KIX,5.97
138.2.77.83,443,TRUE,SIN,5.93
89.168.107.101,443,TRUE,FRA,5.91
140.238.52.81,8443,TRUE,NRT,5.85
129.146.248.140,443,TRUE,LAX,5.82
168.138.52.13,443,TRUE,KIX,5.73
158.101.219.251,443,TRUE,FRA,5.69
146.235.17.31,443,TRUE,SIN,5.66
139.185.34.245,443,TRUE,DXB,5.62
152.67.139.78,443,TRUE,FRA,5.51
141.147.85.125,443,TRUE,FRA,5.50
143.47.251.254,443,TRUE,FRA,5.48
129.154.52.239,443,TRUE,ICN,5.46
140.238.39.21,8443,TRUE,NRT,5.40
140.238.41.167,2096,TRUE,NRT,5.39
141.147.178.135,2087,TRUE,HKG,5.38
64.110.103.69,443,TRUE,KIX,5.38
141.147.95.162,443,TRUE,FRA,5.34
152.70.234.188,443,TRUE,NRT,5.30
64.110.88.200,8443,FALSE,ICN,5.29
140.238.50.32,2096,TRUE,NRT,5.17
152.67.136.109,443,TRUE,FRA,5.05
129.151.152.254,80,FALSE,AMS,4.96
146.56.132.247,443,TRUE,NRT,4.82
140.238.60.71,2087,TRUE,NRT,4.76
193.123.39.216,443,TRUE,FRA,4.74
141.147.147.28,80,FALSE,KIX,4.71
132.145.127.151,443,TRUE,NRT,4.69
141.147.62.61,443,TRUE,FRA,4.66
193.123.36.139,443,TRUE,FRA,4.65
84.235.169.234,443,TRUE,AMS,4.64
89.168.109.17,443,TRUE,FRA,4.62
129.153.213.8,443,TRUE,LAX,4.62
138.3.218.124,443,TRUE,NRT,4.59
152.70.59.90,8443,TRUE,AMS,4.55
141.147.40.44,8443,TRUE,FRA,4.52
89.168.115.171,443,TRUE,FRA,4.52
141.145.205.115,8443,TRUE,CDG,4.50
141.147.94.255,443,TRUE,FRA,4.48
143.47.182.138,443,TRUE,FRA,4.44
152.70.56.209,8443,TRUE,AMS,4.36
141.147.160.86,2053,TRUE,NRT,4.36
158.101.205.146,443,TRUE,FRA,4.35
141.144.232.159,443,TRUE,FRA,4.34
141.147.71.249,443,TRUE,FRA,4.33
89.168.81.91,443,TRUE,AMS,4.32
152.67.150.119,443,TRUE,FRA,4.31
141.144.239.233,443,TRUE,FRA,4.25
140.238.32.112,2087,TRUE,NRT,4.10
138.2.165.149,443,TRUE,FRA,4.10
168.138.45.96,443,TRUE,KIX,4.10
144.24.169.81,2053,TRUE,FRA,4.05
141.147.83.245,443,TRUE,FRA,3.93
64.110.104.30,443,TRUE,KIX,3.86
158.101.220.66,443,TRUE,FRA,3.85
140.238.54.182,2096,TRUE,NRT,3.85
141.147.86.234,443,TRUE,FRA,3.80
141.147.79.184,443,TRUE,FRA,3.80
141.144.205.226,443,TRUE,FRA,3.78
158.101.175.51,8443,TRUE,FRA,3.72
140.238.61.224,2096,TRUE,NRT,3.70
132.145.121.125,2083,TRUE,NRT,3.58
168.138.47.238,8443,FALSE,KIX,3.41
141.147.61.150,443,TRUE,FRA,3.38
129.159.241.172,443,TRUE,FRA,3.36
152.70.108.149,443,TRUE,NRT,3.33
129.146.74.21,2096,TRUE,LAX,3.24
146.56.133.140,2083,FALSE,NRT,3.24
141.144.253.109,443,TRUE,AMS,3.22
141.147.87.85,443,TRUE,FRA,3.19
138.3.254.118,443,TRUE,FRA,3.11
150.230.117.81,443,TRUE,FRA,3.11
141.147.61.116,2053,TRUE,FRA,3.07
144.21.38.231,443,TRUE,FRA,2.98
193.123.233.143,2096,FALSE,NRT,2.92
158.101.169.13,8443,TRUE,FRA,2.92
138.3.247.178,443,TRUE,FRA,2.83
168.138.46.67,443,TRUE,KIX,2.77
150.230.115.64,443,TRUE,FRA,2.76
143.47.182.56,2053,TRUE,AMS,2.74
144.21.42.32,443,TRUE,FRA,2.67
155.248.163.133,2086,FALSE,NRT,2.67
140.238.44.27,443,TRUE,NRT,2.65
158.178.129.114,2053,TRUE,TLV,2.64
141.144.203.129,443,TRUE,FRA,2.64
131.186.27.112,2096,TRUE,ICN,2.61
193.123.64.217,443,TRUE,CDG,2.56
141.147.89.242,443,TRUE,FRA,2.52
141.147.96.81,443,TRUE,FRA,2.52
141.147.79.163,443,TRUE,FRA,2.51
144.21.54.113,443,TRUE,FRA,2.49
141.147.170.160,2083,TRUE,NRT,2.48
138.3.247.135,443,TRUE,CDG,2.47
138.3.254.138,443,TRUE,FRA,2.46
89.168.77.222,443,TRUE,FRA,2.42
140.238.80.17,443,TRUE,FRA,2.26
152.70.59.56,443,TRUE,EWR,2.18
168.138.70.29,443,TRUE,YYZ,2.00
144.21.61.96,443,TRUE,AMS,1.85
141.147.86.64,443,TRUE,FRA,1.80
141.147.76.201,443,TRUE,FRA,1.75
141.147.71.216,443,TRUE,FRA,1.55
158.178.155.195,443,TRUE,FRA,1.54
141.147.71.180,443,TRUE,FRA,1.41
150.230.21.78,443,TRUE,AMS,1.22
141.147.72.168,443,TRUE,FRA,1.18
141.147.108.206,443,TRUE,AMS,1.14
143.47.224.48,443,TRUE,FRA,1.13
158.178.147.239,443,TRUE,FRA,0.88
141.147.75.139,443,TRUE,FRA,0.86
158.101.215.45,8443,TRUE,AMS,0.74
144.21.59.35,443,TRUE,FRA,0.67
146.235.214.73,443,TRUE,SJC,0.58
138.2.75.236,80,FALSE,SIN,0.57
150.136.61.148,443,TRUE,IAD,0.53
146.235.210.182,2053,TRUE,SJC,0.44
192.9.138.241,443,TRUE,SJC,0.34
152.70.60.135,443,TRUE,FRA,0.30
138.2.108.118,2082,FALSE,SIN,0.28
146.235.234.114,443,TRUE,SJC,0.27
204.216.105.106,8443,TRUE,YYZ,0.23
141.147.47.32,8443,TRUE,FRA,0.22
150.230.47.17,443,TRUE,SJC,0.16
129.159.84.71,443,TRUE,IAD,0.16
141.147.77.214,443,TRUE,AMS,0.14
129.159.83.88,8443,TRUE,IAD,0.13
150.230.6.128,80,FALSE,KIX,0.10
143.47.182.76,80,FALSE,AMS,0.09
138.2.35.151,80,FALSE,KIX,0.09
143.47.178.255,80,FALSE,AMS,0.07
132.145.123.6,80,FALSE,NRT,0.07
158.101.136.128,80,FALSE,NRT,0.07
155.248.162.233,80,FALSE,NRT,0.07
151.145.65.108,80,FALSE,NRT,0.07
138.3.222.50,80,FALSE,NRT,0.07
132.145.117.33,80,FALSE,NRT,0.07
146.56.178.88,80,FALSE,ICN,0.07
152.70.102.142,80,FALSE,NRT,0.06
138.3.216.181,80,FALSE,NRT,0.06
158.101.136.221,80,FALSE,NRT,0.06
158.101.93.200,80,FALSE,NRT,0.06
138.3.244.36,80,FALSE,FRA,0.06
132.145.127.203,8443,TRUE,NRT,0.05
132.226.0.181,2086,FALSE,NRT,0.05
150.230.217.29,8080,FALSE,NRT,0.05
89.168.37.47,80,FALSE,CDG,0.05
168.138.203.39,8880,FALSE,NRT,0.05
138.2.26.80,8080,FALSE,NRT,0.05
150.230.213.65,8880,FALSE,NRT,0.05
146.56.38.64,80,FALSE,NRT,0.04
40.233.85.79,80,FALSE,YYZ,0.04
164.152.34.166,80,FALSE,GRU,0.04
144.24.87.205,80,FALSE,ICN,0.04
84.8.141.133,80,FALSE,NBO,0.04
143.47.45.82,80,FALSE,MAD,0.03
138.2.154.115,80,FALSE,AMS,0.03
138.2.234.238,80,FALSE,SJC,0.03
141.147.104.129,80,FALSE,LHR,0.02
129.146.23.172,80,FALSE,LAX,0.02
140.238.42.149,2053,TRUE,NRT,0.02
129.146.175.56,80,FALSE,LAX,0.01
129.153.165.237,443,TRUE,IAD,0.01
138.2.229.233,80,FALSE,SJC,0.01
129.151.207.149,80,FALSE,OSL,0.01
140.238.37.162,2087,TRUE,NRT,0.01
132.145.54.222,80,FALSE,LHR,0.01
138.2.181.173,2095,FALSE,AMS,0.01
144.24.163.83,2095,FALSE,FRA,0.01
141.144.250.193,2095,FALSE,FRA,0.01
146.56.134.155,443,FALSE,HKG,0.01
146.235.200.252,80,FALSE,SJC,0.01
150.230.118.127,80,FALSE,LHR,0.01
213.35.121.216,80,FALSE,SIN,0.01
213.35.122.57,80,FALSE,SIN,0.01
