IP地址,端口,TLS,数据中心,下载速度(MB/s)
172.65.177.231,443,TRUE,N/A,0
172.64.46.2,443,TRUE,N/A,0
172.67.118.250,443,TRUE,N/A,0
104.27.38.100,443,TRUE,N/A,0
172.65.232.81,443,TRUE,N/A,0
104.21.28.59,443,TRUE,N/A,0
172.67.242.163,443,TRUE,N/A,0
172.65.120.195,443,TRUE,N/A,0
104.27.94.209,443,TRUE,N/A,0
172.65.32.50,443,TRUE,N/A,0
172.67.70.160,443,TRUE,N/A,0
104.21.79.89,443,TRUE,N/A,0
172.65.205.186,443,TRUE,N/A,0
104.24.2.129,443,TRUE,N/A,0
172.67.67.36,443,TRUE,N/A,0
172.67.126.71,443,TRUE,N/A,0
172.67.156.9,443,TRUE,N/A,0
172.67.224.134,443,TRUE,N/A,0
172.67.170.243,443,TRUE,N/A,0
172.65.7.16,443,TRUE,N/A,0
172.67.69.216,443,TRUE,N/A,0
104.27.202.84,443,TRUE,N/A,0
104.27.123.107,443,TRUE,N/A,0
172.64.87.254,443,TRUE,N/A,0
104.21.86.26,443,TRUE,N/A,0
104.25.187.143,443,TRUE,N/A,0
104.24.39.243,443,TRUE,N/A,0
172.64.50.201,443,TRUE,N/A,0
104.24.45.15,443,TRUE,N/A,0
104.25.196.240,443,TRUE,N/A,0
162.159.39.118,443,TRUE,N/A,0
172.64.36.10,443,TRUE,N/A,0
172.67.200.132,443,TRUE,N/A,0
172.65.147.211,443,TRUE,N/A,0
104.24.1.224,443,TRUE,N/A,0
172.65.22.84,443,TRUE,N/A,0
104.27.33.73,443,TRUE,N/A,0
104.27.66.93,443,TRUE,N/A,0
104.27.101.179,443,TRUE,N/A,0
104.27.21.16,443,TRUE,N/A,0
104.24.30.98,443,TRUE,N/A,0
104.21.84.138,443,TRUE,N/A,0
162.159.36.119,443,TRUE,N/A,0
172.65.155.35,443,TRUE,N/A,0
104.25.211.241,443,TRUE,N/A,0
104.24.62.70,443,TRUE,N/A,0
172.66.2.122,443,TRUE,N/A,0
172.67.96.124,443,TRUE,N/A,0
172.67.101.0,443,TRUE,N/A,0
172.65.198.182,443,TRUE,N/A,0
172.67.173.30,443,TRUE,N/A,0
104.27.120.14,443,TRUE,N/A,0
162.159.139.201,443,TRUE,N/A,0
162.159.147.92,443,TRUE,N/A,0
104.27.116.139,443,TRUE,N/A,0
172.64.98.10,443,TRUE,N/A,0
104.24.130.153,443,TRUE,N/A,0
104.27.111.220,443,TRUE,N/A,0
104.24.89.15,443,TRUE,N/A,0
104.24.29.140,443,TRUE,N/A,0
172.65.242.155,443,TRUE,N/A,0
162.159.91.229,443,TRUE,N/A,0
172.67.117.51,443,TRUE,N/A,0
104.24.79.87,443,TRUE,N/A,0
172.65.253.169,443,TRUE,N/A,0
104.24.36.238,443,TRUE,N/A,0
172.65.105.208,443,TRUE,N/A,0
162.159.56.208,443,TRUE,N/A,0
162.159.46.224,443,TRUE,N/A,0
104.25.206.164,443,TRUE,N/A,0
104.27.201.223,443,TRUE,N/A,0
172.65.27.152,443,TRUE,N/A,0
162.159.92.70,443,TRUE,N/A,0
172.65.9.73,443,TRUE,N/A,0
104.21.6.221,443,TRUE,N/A,0
104.24.3.143,443,TRUE,N/A,0
172.65.70.18,443,TRUE,N/A,0
104.27.39.111,443,TRUE,N/A,0
104.27.37.211,443,TRUE,N/A,0
172.64.86.71,443,TRUE,N/A,0
104.21.15.247,443,TRUE,N/A,0
104.25.161.149,443,TRUE,N/A,0
104.25.160.7,443,TRUE,N/A,0
104.27.58.10,443,TRUE,N/A,0
104.27.72.55,443,TRUE,N/A,0
172.65.76.48,443,TRUE,N/A,0
104.21.36.242,443,TRUE,N/A,0
172.65.10.137,443,TRUE,N/A,0
172.66.201.147,443,TRUE,N/A,0
104.25.166.114,443,TRUE,N/A,0
172.67.249.93,443,TRUE,N/A,0
172.65.21.121,443,TRUE,N/A,0
104.27.108.17,443,TRUE,N/A,0
104.21.235.132,443,TRUE,N/A,0
172.64.37.49,443,TRUE,N/A,0
172.64.49.45,443,TRUE,N/A,0
172.65.246.113,443,TRUE,N/A,0
172.64.145.132,443,TRUE,N/A,0
104.21.196.175,443,TRUE,N/A,0
104.27.70.243,443,TRUE,N/A,0
104.24.52.251,443,TRUE,N/A,0
104.27.68.0,443,TRUE,N/A,0
162.159.41.248,443,TRUE,N/A,0
104.27.100.145,443,TRUE,N/A,0
172.65.146.202,443,TRUE,N/A,0
172.65.81.126,443,TRUE,N/A,0
162.159.154.73,443,TRUE,N/A,0
104.27.17.153,443,TRUE,N/A,0
104.24.28.236,443,TRUE,N/A,0
104.24.88.24,443,TRUE,N/A,0
104.21.43.189,443,TRUE,N/A,0
104.24.61.93,443,TRUE,N/A,0
172.65.72.60,443,TRUE,N/A,0
104.27.104.44,443,TRUE,N/A,0
172.67.243.41,443,TRUE,N/A,0
104.27.96.40,443,TRUE,N/A,0
104.24.0.21,443,TRUE,N/A,0
104.27.23.162,443,TRUE,N/A,0
104.21.111.252,443,TRUE,N/A,0
172.65.8.137,443,TRUE,N/A,0
172.65.200.26,443,TRUE,N/A,0
104.27.65.174,443,TRUE,N/A,0
172.67.247.239,443,TRUE,N/A,0
162.159.24.189,443,TRUE,N/A,0
172.67.77.124,443,TRUE,N/A,0
172.67.76.203,443,TRUE,N/A,0
172.65.152.253,443,TRUE,N/A,0
172.67.217.184,443,TRUE,N/A,0
104.27.99.211,443,TRUE,N/A,0
172.65.82.124,443,TRUE,N/A,0
172.65.2.191,443,TRUE,N/A,0
104.27.59.168,443,TRUE,N/A,0
104.21.16.160,443,TRUE,N/A,0
172.64.85.214,443,TRUE,N/A,0
172.64.81.76,443,TRUE,N/A,0
172.65.26.129,443,TRUE,N/A,0
104.27.122.146,443,TRUE,N/A,0
172.65.115.204,443,TRUE,N/A,0
104.21.32.163,443,TRUE,N/A,0
162.159.26.46,443,TRUE,N/A,0
162.159.158.28,443,TRUE,N/A,0
104.21.52.158,443,TRUE,N/A,0
172.66.136.186,443,TRUE,N/A,0
172.67.206.38,443,TRUE,N/A,0
172.65.162.234,443,TRUE,N/A,0
104.21.33.215,443,TRUE,N/A,0
104.27.115.160,443,TRUE,N/A,0
162.159.81.181,443,TRUE,N/A,0
172.67.248.205,443,TRUE,N/A,0
172.67.65.96,443,TRUE,N/A,0
104.21.229.85,443,TRUE,N/A,0
172.65.189.138,443,TRUE,N/A,0
172.65.172.30,443,TRUE,N/A,0
172.65.195.227,443,TRUE,N/A,0
104.27.126.165,443,TRUE,N/A,0
162.159.144.30,443,TRUE,N/A,0
172.65.249.222,443,TRUE,N/A,0
172.65.48.69,443,TRUE,N/A,0
104.27.31.51,443,TRUE,N/A,0
172.65.197.234,443,TRUE,N/A,0
104.25.148.182,443,TRUE,N/A,0
104.25.175.202,443,TRUE,N/A,0
104.21.194.139,443,TRUE,N/A,0
172.67.174.228,443,TRUE,N/A,0
172.67.234.59,443,TRUE,N/A,0
104.27.118.14,443,TRUE,N/A,0
172.65.157.231,443,TRUE,N/A,0
104.24.57.168,443,TRUE,N/A,0
104.21.232.227,443,TRUE,N/A,0
104.24.139.138,443,TRUE,N/A,0
172.66.210.246,443,TRUE,N/A,0
172.64.35.116,443,TRUE,N/A,0
104.25.184.103,443,TRUE,N/A,0
104.24.22.36,443,TRUE,N/A,0
172.65.184.22,443,TRUE,N/A,0
104.25.198.20,443,TRUE,N/A,0
172.67.92.166,443,TRUE,N/A,0
104.24.92.131,443,TRUE,N/A,0
172.66.199.202,443,TRUE,N/A,0
162.159.43.127,443,TRUE,N/A,0
172.64.94.201,443,TRUE,N/A,0
172.67.205.189,443,TRUE,N/A,0
172.65.71.53,443,TRUE,N/A,0
172.65.88.236,443,TRUE,N/A,0
104.27.78.99,443,TRUE,N/A,0
172.67.212.161,443,TRUE,N/A,0
